order_purchase_year,order_purchase_year_month,order_id,price,freight_value,price_per_order,freight_per_order
2017,201701,966,120312.87,16875.62,124.54748447204969,17.469585921325052
2017,201702,1998,247303.02,38977.6,123.77528528528528,19.508308308308308
2017,201703,3041,374344.3,57704.29,123.09907925024663,18.975432423544888
2017,201704,2697,359927.23,52495.01,133.45466444197257,19.46422321097516
2017,201705,4176,506071.14,80119.81,121.18561781609196,19.18577825670498
2017,201706,3611,433038.6,69924.44,119.92207144835226,19.36428690113542
2017,201707,4576,498031.48,86940.14,108.8355506993007,18.999156468531467
2017,201708,4948,573971.68,94232.92,116.00074373484237,19.044648342764752
2017,201709,4873,624401.6900000001,95997.22,128.13496613995486,19.699819413092552
2017,201710,5385,664219.43,105092.94,123.34622655524606,19.515866295264626
2017,201711,8758,1010271.37,168872.4,115.3541185202101,19.28207353277004
2017,201712,6357,743914.17,119633.06,117.0228362435111,18.81910649677521
2018,201801,8257,950030.36,157271.53,115.05757054620322,19.04705462032215
2018,201802,7706,844178.71,142730.25,109.54823643913834,18.52196340513885
2018,201803,8240,983213.4400000001,171913.38,119.32201941747573,20.86327427184466
2018,201804,7980,996647.75,163050.29,124.89320175438597,20.4323671679198
2018,201805,7945,996517.68,153264.14,125.42702076777849,19.290640654499686
2018,201806,7085,865124.31,157552.8,122.10646577275936,22.237515878616794
2018,201807,7111,895507.22,163220.81,125.93267051047673,22.953285051328926
2018,201808,7308,854686.33,148622.14,116.95215243568691,20.336910235358513
