month,region,order_count,order_amount
201701,Centro-Oeste,65,8179.76
201701,Nordeste,78,10951.37
201701,Norte,22,4127.95
201701,Sudeste,625,72715.75
201701,Sul,176,24338.04
201702,Centro-Oeste,86,23146.84
201702,Nordeste,173,23040.2
201702,Norte,72,14243.19
201702,Sudeste,1352,145478.8
201702,Sul,315,41393.99
201703,Sul,432,54201.62
201703,Sudeste,2054,240966.24
201703,Centro-Oeste,167,24284.36
201703,Nordeste,301,42989.63
201703,Norte,87,11902.45
201704,Centro-Oeste,135,18651.87
201704,Nordeste,309,45955.65
201704,Norte,87,11094.28
201704,Sudeste,1759,237257.0
201704,Sul,407,46968.43
201705,Sul,657,83694.22
201705,Norte,90,12800.58
201705,Sudeste,2753,314884.27
201705,Centro-Oeste,238,34687.7
201705,Nordeste,438,60004.37
201706,Centro-Oeste,226,25855.07
201706,Nordeste,309,50612.55
201706,Norte,71,12398.24
201706,Sudeste,2428,285341.72000000003
201706,Sul,577,58831.02
201707,Sul,697,73394.86
201707,Norte,71,8404.32
201707,Sudeste,3085,325319.52
201707,Centro-Oeste,253,33762.83
201707,Nordeste,470,57149.95
201708,Centro-Oeste,300,34817.67
201708,Nordeste,506,82050.36
201708,Norte,113,21338.97
201708,Sudeste,3272,350556.18
201708,Sul,757,85208.5
201709,Sudeste,3223,397497.77
201709,Centro-Oeste,297,39138.05
201709,Nordeste,543,84708.04
201709,Norte,106,17464.27
201709,Sul,704,85593.56
201710,Sudeste,3641,417551.14
201710,Norte,104,14005.289999999999
201710,Sul,743,91994.32
201710,Centro-Oeste,353,47600.29
201710,Nordeste,544,93068.39
201711,Centro-Oeste,514,66520.51
201711,Nordeste,812,104714.07
201711,Norte,140,23788.34
201711,Sudeste,5993,669382.18
201711,Sul,1299,145866.27
201712,Sudeste,4454,504745.64
201712,Norte,104,16558.96
201712,Sul,815,96537.47
201712,Centro-Oeste,385,47861.84
201712,Nordeste,599,78210.26
201801,Centro-Oeste,501,56991.62
201801,Nordeste,750,102197.46
201801,Norte,154,25469.61
201801,Sudeste,5638,633164.86
201801,Sul,1214,132206.81
201802,Centro-Oeste,515,55892.26
201802,Nordeste,710,91954.94
201802,Norte,128,16809.91
201802,Sudeste,5234,554809.81
201802,Sul,1119,124711.79
201803,Sul,1189,145313.12
201803,Norte,139,24505.51
201803,Sudeste,5662,640974.38
201803,Centro-Oeste,476,56340.93
201803,Nordeste,774,116079.5
201804,Centro-Oeste,438,55320.47
201804,Nordeste,685,105386.08
201804,Norte,131,22067.47
201804,Sudeste,5568,650122.87
201804,Sul,1158,163750.86
201805,Centro-Oeste,453,71898.63
201805,Nordeste,632,88658.35
201805,Norte,100,16673.14
201805,Sudeste,5722,686145.13
201805,Sul,1038,133142.43
201806,Sul,939,119116.31
201806,Sudeste,5020,569858.71
201806,Nordeste,603,104401.97
201806,Centro-Oeste,404,53566.03
201806,Norte,119,18181.29
201807,Centro-Oeste,441,65384.2
201807,Nordeste,720,127057.63
201807,Norte,145,26653.829999999998
201807,Sudeste,4840,554066.89
201807,Sul,965,122344.67
201808,Sudeste,5387,604722.93
201808,Centro-Oeste,383,48205.18
201808,Nordeste,470,70289.66
201808,Norte,85,14665.92
201808,Sul,983,116802.64
