customer_state,time_to_delivery
RR,20.31111111111111
AP,20.11111111111111
AM,18.809815950920246
AL,17.363849765258216
PA,16.823473282442748
MA,15.359039190897597
SE,15.129032258064516
CE,14.888732394366198
AC,14.659340659340659
PB,14.567521367521367
RO,14.065934065934066
PI,13.758620689655173
BA,13.660054347826087
RN,13.645348837209303
PE,12.960344827586207
MT,12.800966183574879
TO,12.406451612903226
ES,11.094959495949595
MS,10.971639950678176
GO,10.913215859030837
RS,10.724002616088947
RJ,10.675604738596865
SC,10.58643486777669
DF,9.08223263740946
MG,8.413651188072683
PR,8.403630539241858
SP,6.1298914333815375
